"","X4PSENRSTLV","X3TGPATOT","X1SES","S1FRNDCLG"
"1","2",3.5,1.5644,1
"2","0",4,-0.3699,2
"3","2",3,1.2741,1
"5","0",2.5,-0.43,1
"6","2",3.5,1.5144,1
"7","2",3.5,-0.3103,2
"8","2",4,2.4996,1
"9","2",3.5,2.5668,1
"10","2",4,0.9973,1
"11","2",3.5,0.0686,1
"12","2",4,1.3989,1
"13","2",3,-0.2746,1
"14","1",3.5,0.4235,1
"15","2",3,0.1402,1
"16","2",3.5,1.5809,1
"17","2",3,0.1493,1
"18","2",4,0.5238,1
"19","2",4,0.6753,1
"21","2",3.5,1.3291,1
"22","2",4,0.3972,1
"23","0",2,-1.1012,1
"24","2",3,0.5511,1
"25","0",2.5,-0.0058,1
"27","2",3.5,-0.1112,1
"29","2",3,-1.7526,1
"30","1",3,-0.0998,1
"33","2",4,2.1586,1
"34","0",2.5,0.2028,2
"35","2",4,0.0884,1
"36","0",2,-0.9782,1
"37","2",3,-0.0322,1
"38","2",3,-0.1513,1
"39","0",3,0.122,1
"40","2",3.5,1.4352,1
"41","0",2,-0.1266,1
"42","2",3.5,1.0498,1
"43","2",3.5,-0.4907,1
"45","2",4,1.4591,1
"46","0",2.5,-0.8455,1
"47","2",3.5,0.2802,1
"48","1",3.5,0.2807,1
"49","2",4,0.5592,1
"50","2",3.5,0.3202,1
"52","2",3,-0.1636,1
"53","1",3.5,1.0303,1
"54","0",1,0.1079,1
"56","2",3,-0.9271,1
"57","2",4,0.9834,1
"58","0",3,0.1032,1
"59","2",3,-0.8837,2
"60","1",3.5,-0.9416,1
"61","1",2.5,-0.0505,1
"62","2",2,1.8024,1
"63","0",4,1.0753,1
"64","2",3,0.756,1
"65","0",3,0.1516,1
"66","2",4,0.3952,1
"67","2",4,0.811,1
"68","2",3.5,0.4133,1
"69","2",3.5,0.1878,1
"70","1",3,0.0462,1
"71","2",2.5,0.0027,1
"72","2",3.5,1.0269,1
"73","2",3.5,-0.0327,1
"74","0",3.5,1.0087,1
"75","2",3.5,0.5788,1
"76","2",3,2.0292,1
"77","0",3.5,1.0961,1
"78","1",3,-0.5442,1
"79","1",3.5,0.1295,1
"80","1",2.5,0.4431,1
"81","1",2.5,-0.9952,2
"82","2",3,0.2131,1
"83","2",3,0.5769,1
"84","2",4,0.8994,1
"85","2",4,0.2531,1
"86","2",3.5,1.3994,1
"88","2",3.5,-1.3419,2
"89","2",3,1.5235,1
"90","2",3.5,0.8559,1
"91","1",3,-0.5089,2
"92","2",3,0.8973,1
"93","2",2.5,-0.2066,1
"94","2",3,0.7983,1
"95","2",2.5,-0.0643,1
"96","2",2.5,0.6195,1
"97","2",3,1.2556,1
"98","2",2.5,0.4329,1
"99","2",3,0.5718,1
"100","2",3.5,1.0476,1
"101","0",1,-0.0714,1
"102","2",4,1.6415,1
"103","2",2,1.0189,1
"104","2",4,0.3842,1
"105","2",2.5,0.0885,1
"106","2",4,1.4259,1
"109","1",2.5,0.3474,1
"111","1",4,1.1463,1
"112","2",4,1.0467,1
"114","2",3.5,1.0708,1
"115","2",4,0.1653,1
"116","1",1.5,-1.0282,1
"117","1",2.5,-0.056,1
"118","0",2.5,0.4073,1
"120","2",4,1.0407,1
"121","2",3.5,1.4893,1
"122","2",2.5,-0.2213,1
"123","2",3,0.7921,1
"124","2",4,2.007,1
"126","2",3,0.3282,1
"127","2",3,0.4939,1
"128","1",2.5,0.0885,1
"129","2",2.5,-0.3118,1
"131","0",2,0.0502,1
"132","2",3,1.1228,1
"136","2",4,2.0667,1
"138","0",3,-0.4024,1
"140","0",3,2.3852,1
"141","2",3.5,-0.1942,1
"142","2",3.5,1.3874,1
"143","2",4,0.2011,1
"144","2",3.5,0.5303,1
"146","0",2.5,0.6088,1
"147","2",3.5,1.3761,1
"148","2",4,1.0802,1
"149","2",4,1.0162,1
"150","2",3.5,1.1209,1
"151","2",3.5,1.3874,1
"152","1",3.5,1.5402,1
"153","2",3,1.0439,1
"154","2",3.5,1.6071,1
"155","2",2.5,0.0147,1
"156","2",2.5,-0.0227,2
"157","2",2.5,0.8577,1
"159","2",3,1.3204,1
"161","2",4,1.0151,1
"163","2",3.5,1.2036,1
"164","0",3,0.7237,1
"165","2",4,0.3094,1
"167","2",3,-0.8914,1
"168","1",3,-0.43,1
"169","0",3,0.1751,1
"170","0",2,-0.3755,1
"171","2",2,0.494,1
"172","2",3.5,1.6709,1
"174","2",4,0.6538,1
"175","2",3.5,-0.8993,1
"176","2",4,0.4745,1
"178","0",3,-1.0941,1
"179","2",3.5,-0.4129,1
"180","2",4,-0.0296,1
"182","1",2.5,-0.8132,1
"185","2",3,0.6275,1
"186","0",2,-1.1012,1
"187","2",3,0.7785,1
"188","2",3.5,0.3681,1
"189","2",3,-0.4924,1
"190","2",3,0.9828,1
"191","1",3.5,-0.012,1
"192","2",3.5,0.0478,2
"193","2",3.5,1.8918,1
"195","1",3,0.4358,1
"196","2",3,0.9192,1
"197","0",2,0.6763,1
"198","0",2.5,-0.4293,1
"199","0",3,0.7523,1
"200","0",4,-0.9534,1
"201","1",3,-0.5858,1
"202","2",2.5,1.1228,1
"203","0",3.5,-0.482,1
"205","2",3,0.2883,1
"206","2",3.5,0.942,1
"207","2",3.5,1.1911,1
"208","2",3.5,-0.3332,1
"209","0",2.5,-1.1433,1
"210","2",3.5,1.1431,1
"211","2",3,0.4189,1
"212","2",4,1.1667,1
"213","1",2.5,-0.3007,1
"215","0",3,-0.482,2
"216","1",2,-0.7933,1
"218","2",3,0.1099,1
"219","0",1.5,0.1874,1
"220","2",3.5,0.5911,1
"221","2",3.5,-0.0373,1
"222","2",4,0.2801,1
"223","2",4,0.0414,1
"224","2",3.5,-0.8391,1
"226","2",4,1.3586,1
"227","1",3.5,-0.1277,1
"228","0",2.5,1.0269,1
"229","2",4,1.1475,1
"230","2",3,0.2706,1
"231","0",2.5,0.1856,1
"232","0",3,-0.2477,1
"233","2",3.5,0.3672,1
"234","2",3,0.9587,1
"235","0",2,0.1543,1
"236","0",3,-0.8602,1
"238","2",3.5,-0.5592,1
"239","2",2.5,-0.1113,1
"240","2",3.5,1.3326,1
"241","0",1.5,-0.7281,1
"243","2",3.5,-0.0754,1
"244","2",3.5,-0.0996,1
"245","1",2,0.8831,1
"246","1",2.5,0.4613,1
"247","0",3,-0.5142,1
"248","2",4,1.0269,1
"249","1",2.5,-0.7147,2
"250","2",3,-0.7751,1
"251","2",3.5,1.3935,1
"252","2",3.5,1.3306,1
"253","2",3.5,1.1217,1
"254","1",3,0.1173,2
"255","2",2,1.1166,1
"257","0",1,-0.9551,2
"258","2",3.5,1.1745,1
"259","0",2.5,0.5316,1
"260","1",2,0.3952,1
"261","2",2.5,0.756,1
"262","2",3.5,-0.3173,1
"263","0",3.5,-0.9072,1
"264","2",3,0.6152,1
"265","0",3.5,1.0828,1
"266","1",3,0.8583,1
"267","2",3.5,1.0912,1
"268","1",2.5,0.5269,1
"270","2",3.5,1.1097,1
"272","2",3,1.4744,1
"273","1",3,0.8881,1
"275","1",2.5,-0.382,1
"276","2",3.5,-1.2395,1
"277","2",4,1.013,1
"278","2",3.5,1.1489,1
"280","2",4,0.2238,1
"281","1",3,-0.5506,1
"282","2",3,-0.4549,1
"283","1",2.5,1.1341,1
"284","2",3,-0.2285,1
"285","2",4,0.7961,1
"286","0",3,-0.3641,1
"287","2",4,-0.6333,1
"289","2",3.5,1.2108,1
"290","2",3.5,1.2149,1
"291","2",2.5,1.433,1
"292","2",3.5,0.2825,1
"293","2",3.5,0.4308,1
"294","0",2.5,-0.3431,1
"295","2",3.5,1.0326,1
"296","2",2.5,-0.1908,1
"298","2",3,0.3714,1
"299","2",3,0.3538,1
"300","1",3.5,-0.387,1
"301","0",3.5,1.0925,1
"302","0",2.5,-0.2606,1
"304","2",2.5,1.412,1
"305","0",4,0.0506,1
"306","1",2.5,0.4784,1
"308","2",4,1.1654,1
"309","0",3.5,-0.2295,1
"311","1",3,0.3581,2
"315","2",4,0.0331,1
"316","2",3,1.479,1
"317","2",2.5,0.0397,1
"318","1",3,0.1703,1
"319","2",4,2.5668,1
